date,region_id,product_id,price,sales
2023-01-01,3,3,78.87221695484642,8
2023-01-02,4,7,50.63515777730369,47
2023-01-03,1,9,98.60217481322292,37
2023-01-04,3,4,40.79020214410437,3
2023-01-05,3,1,76.20993849772685,33
2023-01-06,4,2,42.33399765299162,28
2023-01-07,1,1,83.77060096711887,47
2023-01-08,1,5,59.062739570746025,8
2023-01-09,3,5,11.033623811050127,34
2023-01-10,2,7,8.498077425419181,35
2023-01-11,3,9,17.715951286060154,32
2023-01-12,3,9,6.298836658564742,24
2023-01-13,3,3,12.15911073348392,14
2023-01-14,3,3,70.71286773104664,32
2023-01-15,4,3,55.762896127798996,46
2023-01-16,1,4,76.24152119964732,43
2023-01-17,4,8,91.75074646447607,16
2023-01-18,4,6,60.58920557091984,4
2023-01-19,4,8,73.98148018682556,37
2023-01-20,3,1,76.9227141940333,21
2023-01-21,2,8,40.89580218119971,14
2023-01-22,1,4,27.903059071315024,31
2023-01-23,2,1,24.479306208119866,48
2023-01-24,4,8,28.887031753620853,18
2023-01-25,4,4,31.099520717461335,7
2023-01-26,2,6,24.686626655765362,10
2023-01-27,2,8,88.43096341052326,7
2023-01-28,2,4,76.91491755636173,33
2023-01-29,4,3,9.455164440165891,23
2023-01-30,4,9,30.523885792404197,21
2023-01-31,1,3,7.107550492878655,19
2023-02-01,1,9,52.32569273135983,48
2023-02-02,4,2,50.24001619495635,19
2023-02-03,2,2,83.98029155593761,36
2023-02-04,2,2,34.238837778249696,29
2023-02-05,1,6,82.55664484524092,18
2023-02-06,4,3,96.95750771678318,2
2023-02-07,1,9,13.398781219736424,1
2023-02-08,1,4,80.22269474961513,47
2023-02-09,3,1,61.045810228075425,5
2023-02-10,3,4,50.604366866755136,20
2023-02-11,3,1,44.950898973182134,11
2023-02-12,2,5,79.54348507470941,42
2023-02-13,4,4,65.73932891255302,2
2023-02-14,4,8,81.47924341433938,3
2023-02-15,4,8,90.7993505742795,23
2023-02-16,4,7,63.64005264924274,12
2023-02-17,3,3,98.1439588837759,20
2023-02-18,2,1,62.768345706479096,5
2023-02-19,2,1,65.48121055411684,37
2023-02-20,3,3,57.70748281151144,38
2023-02-21,2,6,13.645198649876377,30
